time_period,time_identifier,geographic_level,country_code,country_name,breakdown_topic,breakdown,progression_rate,high_tariff_progression_rate,number_of_he_students,number_of_high_tariff_he_students,number_of_students
202021,Academic year,National,E92000001,England,Ethnicity Minor,Bangladeshi,68.5,16.2,6104,1439,8905
202021,Academic year,National,E92000001,England,Ethnicity Minor,Any Other Asian Background,69.7,21.8,6013,1882,8621
202021,Academic year,National,E92000001,England,Ethnicity Minor,Caribbean,45.8,5.8,3280,412,7164
202021,Academic year,National,E92000001,England,Ethnicity Minor,African,69.8,13.9,12248,2445,17535
202021,Academic year,National,E92000001,England,Ethnicity Minor,Any other Black / African / Caribbean background,56.0,9.6,1870,321,3338
202021,Academic year,National,E92000001,England,Ethnicity Minor,Chinese,81.0,42.1,1638,850,2021
202021,Academic year,National,E92000001,England,Ethnicity Minor,Any Other Ethnic Group,60.0,15.8,5111,1343,8515
202021,Academic year,National,E92000001,England,Ethnicity Minor,Unknown,45.0,14.1,2647,827,5886
202021,Academic year,National,E92000001,England,POLAR,Q1 - Most Disadvantaged,29.5,5.0,30711,5230,104008
202021,Academic year,National,E92000001,England,POLAR,Q2,37.2,7.6,38955,7973,104611
202021,Academic year,National,E92000001,England,POLAR,Q3,44.4,10.5,47029,11106,105819
202021,Academic year,National,E92000001,England,POLAR,Q4,51.1,14.4,55399,15558,108366
202021,Academic year,National,E92000001,England,POLAR,Q5 - Most Advantaged,59.2,22.8,62458,24055,105589
202021,Academic year,National,E92000001,England,POLAR,Unknown,39.0,9.6,550,135,1409
202021,Academic year,National,E92000001,England,Looked After Status,Looked after continuously for 12 months or more,13.0,2.0,510,80,3820
202021,Academic year,National,E92000001,England,Looked After Status,All Other Pupils,45.0,12.0,234590,63980,525990
202021,Academic year,National,E92000001,England,Children in Need,Children in Need,13.0,2.0,2000,320,15740
202021,Academic year,National,E92000001,England,Children in Need,All Other Pupils,45.0,12.0,233100,63740,514060
202021,Academic year,National,E92000001,England,SEN Status,Any special educational need,18.8,3.0,14156,2291,75332
202021,Academic year,National,E92000001,England,SEN Status,No Identified special educational need,48.6,13.6,220946,61766,454470
202021,Academic year,National,E92000001,England,Ethnicity Major,White,39.7,11.2,162112,45579,408713
202021,Academic year,National,E92000001,England,Ethnicity Major,Mixed / Multiple ethnic groups,48.1,14.2,11393,3374,23689
202021,Academic year,National,E92000001,England,Ethnicity Major,Asian / Asian British,66.3,17.8,36441,9756,54962
202021,Academic year,National,E92000001,England,Ethnicity Major,Black / African / Caribbean / Black British,62.1,11.3,17398,3178,28037
202021,Academic year,National,E92000001,England,Ethnicity Major,Other Ethnic Group,60.0,15.8,5111,1343,8515
202021,Academic year,National,E92000001,England,Ethnicity Major,Unknown,45.0,14.1,2647,827,5886
202021,Academic year,National,E92000001,England,Care Leaver,Care Leaver,12.0,2.0,710,100,5840
202021,Academic year,National,E92000001,England,Care Leaver,All Other Pupils,45.0,12.0,234390,63960,523960
202122,Academic year,National,E92000001,England,FSM Status,Free School Meals,29.2,5.2,19443,3441,66690
202122,Academic year,National,E92000001,England,FSM Status,All Other Pupils,49.4,14.2,225701,64873,457300
202122,Academic year,National,E92000001,England,Disadvantage,Disadvantaged,32.5,5.9,43755,7997,134811
202122,Academic year,National,E92000001,England,Disadvantage,All Other Pupils,51.7,15.5,201389,60317,389179
202122,Academic year,National,E92000001,England,SEN Provision,SEN support / SEN without an EHC plan,24.2,4.2,13099,2248,54058
202122,Academic year,National,E92000001,England,SEN Provision,"Education, health and care plan",8.9,1.4,1768,276,19918
202122,Academic year,National,E92000001,England,SEN Provision,No SEN provision,51.2,14.6,230277,65790,450014
202122,Academic year,National,E92000001,England,First Language,English,43.9,12.5,192008,54636,436944
202122,Academic year,National,E92000001,England,First Language,Other than English,61.1,15.7,52706,13567,86212
202122,Academic year,National,E92000001,England,First Language,Unclassified,51.6,13.3,430,111,834
202122,Academic year,National,E92000001,England,Sex,Female,53.6,14.7,137768,37880,256901
202122,Academic year,National,E92000001,England,Sex,Male,40.2,11.4,107376,30434,267089
202122,Academic year,National,E92000001,England,Ethnicity Minor,English / Welsh / Scottish / Northern Irish / British,41.2,11.6,151856,42736,368671
202122,Academic year,National,E92000001,England,Ethnicity Minor,Irish,57.9,23.7,961,394,1660
202122,Academic year,National,E92000001,England,Ethnicity Minor,Traveller of Irish Heritage,9.0,0.0,10,0,111
202122,Academic year,National,E92000001,England,Ethnicity Minor,Gypsy / Roma,12.6,0.4,145,5,1148
202122,Academic year,National,E92000001,England,Ethnicity Minor,Any Other White Background,51.4,15.0,13543,3944,26352
202122,Academic year,National,E92000001,England,Ethnicity Minor,White and Black Caribbean,38.0,7.8,2703,553,7108
202122,Academic year,National,E92000001,England,Ethnicity Minor,White and Black African,54.8,13.2,1613,388,2941
202122,Academic year,National,E92000001,England,Ethnicity Minor,White and Asian,58.7,23.0,3256,1275,5551
202122,Academic year,National,E92000001,England,Ethnicity Minor,Any other Mixed / Multiple ethnic background,56.6,17.0,5156,1545,9110
202122,Academic year,National,E92000001,England,Ethnicity Minor,Indian,74.8,26.7,10915,3902,14594
202122,Academic year,National,E92000001,England,Ethnicity Minor,Pakistani,60.8,11.9,13899,2723,22864
202122,Academic year,National,E92000001,England,Ethnicity Minor,Bangladeshi,68.9,19.1,6468,1794,9382
202122,Academic year,National,E92000001,England,Ethnicity Minor,Any Other Asian Background,72.9,23.5,6534,2108,8957
