"------------------------------------------------------------------","","","",""
"Next steps: what is the experience of students from a care background in education?","","","",""
"Supporting data table","","","",""
"------------------------------------------------------------------","","","",""
"Group variables: Row option, Response","","","",""
"Statistics: Proportion of respondents","","","",""
"Audience: 2022 applicants who shared that they were care-experienced in their UCAS application and were below the age of 25    Domicile: UK","","","",""
"Coverage: All survey respondents who agreed that the care experienced description applied to them","","","",""
"Survey responses are weighted to represent the entire sample population.","","","",""
"Percentages are rounded to the nearest whole number.","","","",""
"------------------------------------------------------------------","","","",""
"Question asked:","","","",""
"How important are or were the following factors to you when choosing your first year accommodation? ","","","",""
"------------------------------------------------------------------","","","",""
"------------------------------------------------------------------","","","",""
"Row option","Response","Class","Class Level","Proportion of respondents"
" Bills included","Not important","In care when they were primary school age (11 and under)","No","10%"
" Bills included","Important","In care when they were primary school age (11 and under)","Yes","72%"
" Bills included","Neutral","In care when they were primary school age (11 and under)","Yes","17%"
" Bills included","Not important","In care when they were primary school age (11 and under)","Yes","11%"
" Social scene (e.g. events on-site)","Important","In care when they were primary school age (11 and under)","No","39%"
" Social scene (e.g. events on-site)","Neutral","In care when they were primary school age (11 and under)","No","29%"
" Social scene (e.g. events on-site)","Not important","In care when they were primary school age (11 and under)","No","33%"
" Social scene (e.g. events on-site)","Important","In care when they were primary school age (11 and under)","Yes","42%"
" Social scene (e.g. events on-site)","Neutral","In care when they were primary school age (11 and under)","Yes","34%"
" Social scene (e.g. events on-site)","Not important","In care when they were primary school age (11 and under)","Yes","24%"
" Studious atmosphere","Important","In care when they were primary school age (11 and under)","No","54%"
" Studious atmosphere","Neutral","In care when they were primary school age (11 and under)","No","27%"
" Studious atmosphere","Not important","In care when they were primary school age (11 and under)","No","19%"
" Studious atmosphere","Important","In care when they were primary school age (11 and under)","Yes","52%"
" Studious atmosphere","Neutral","In care when they were primary school age (11 and under)","Yes","31%"
" Studious atmosphere","Not important","In care when they were primary school age (11 and under)","Yes","17%"
" Access to outdoor space (e.g. garden, common areas)","Important","In care when they were primary school age (11 and under)","No","51%"
" Access to outdoor space (e.g. garden, common areas)","Neutral","In care when they were primary school age (11 and under)","No","33%"
" Access to outdoor space (e.g. garden, common areas)","Not important","In care when they were primary school age (11 and under)","No","17%"
" Access to outdoor space (e.g. garden, common areas)","Important","In care when they were primary school age (11 and under)","Yes","48%"
" Access to outdoor space (e.g. garden, common areas)","Neutral","In care when they were primary school age (11 and under)","Yes","32%"
" Access to outdoor space (e.g. garden, common areas)","Not important","In care when they were primary school age (11 and under)","Yes","20%"
" Option to live in the same property for more than one academic year","Important","In care when they were primary school age (11 and under)","No","33%"
" Option to live in the same property for more than one academic year","Neutral","In care when they were primary school age (11 and under)","No","32%"
" Option to live in the same property for more than one academic year","Not important","In care when they were primary school age (11 and under)","No","35%"
" Option to live in the same property for more than one academic year","Important","In care when they were primary school age (11 and under)","Yes","34%"
