"----------------------------------------------------"
"Next Steps: what is the experience of students from a care background in education?"
"Supporting data table"
"----------------------------------------------------"
"Group variables: Year, Care category, Subject group (CAH2)"
"Statistics: Main scheme applications, Accepted applicants, Proportion of main scheme applications, Proportion of accepted applicants"
"Coverage: UK applicants who applied by 28 days after JCQ results day"
"Counts are rounded to the nearest 10, percentages are rounded to 1 decimal place. Percentages where either contributing group is less than 20 are suppressed."
"----------------------------------------------------"
"----------------------------------------------------"
Year,Care category,Subject group (CAH2),Main scheme applications,Accepted applicants,Proportion of main scheme applications,Proportion of accepted applicants
2020,"Care experienced","(CAH25-01) creative arts and design","1,280","270","5.4%","5.8%"
2020,"Care experienced","(CAH25-02) performing arts","920","210","3.9%","4.4%"
2020,"Care experienced","(CAH26-01) geography, earth and environmental studies","180","30","0.8%","0.7%"
2021,"Not care experienced","(CAH01-01) medicine and dentistry","99,800","11,860","4.3%","2.7%"
2021,"Not care experienced","(CAH02-02) pharmacology, toxicology and pharmacy","24,360","4,910","1.0%","1.1%"
2021,"Not care experienced","(CAH02-04) nursing and midwifery","204,880","33,100","8.8%","7.5%"
2021,"Not care experienced","(CAH02-05) medical sciences","63,760","12,170","2.7%","2.7%"
2021,"Not care experienced","(CAH02-06) allied health","93,290","15,310","4.0%","3.5%"
2021,"Not care experienced","(CAH03-01) biosciences","72,800","14,140","3.1%","3.2%"
2021,"Not care experienced","(CAH03-02) sport and exercise sciences","75,820","15,490","3.3%","3.5%"
2021,"Not care experienced","(CAH04-01) psychology","120,200","23,680","5.2%","5.3%"
2021,"Not care experienced","(CAH05-01) veterinary sciences","13,900","2,230","0.6%","0.5%"
2021,"Not care experienced","(CAH06-01) agriculture, food and related studies","16,300","4,400","0.7%","1.0%"
2021,"Not care experienced","(CAH07-01) physics and astronomy","25,950","4,910","1.1%","1.1%"
2021,"Not care experienced","(CAH07-02) chemistry","20,320","4,080","0.9%","0.9%"
2021,"Not care experienced","(CAH07-04) general, applied and forensic sciences","14,920","3,470","0.6%","0.8%"
2021,"Not care experienced","(CAH09-01) mathematical sciences","37,120","7,560","1.6%","1.7%"
2021,"Not care experienced","(CAH10-01) engineering","121,460","23,400","5.2%","5.3%"
2021,"Not care experienced","(CAH10-03) materials and technology","5,320","1,330","0.2%","0.3%"
2021,"Not care experienced","(CAH11-01) computing","112,810","23,800","4.9%","5.4%"
2021,"Not care experienced","(CAH13-01) architecture, building and planning","38,870","7,920","1.7%","1.8%"
2021,"Not care experienced","(CAH15-01) sociology, social policy and anthropology","102,970","19,880","4.4%","4.5%"
2021,"Not care experienced","(CAH15-02) economics","58,150","10,630","2.5%","2.4%"
2021,"Not care experienced","(CAH15-03) politics","45,230","8,630","1.9%","1.9%"
2021,"Not care experienced","(CAH15-04) health and social care","55,190","10,640","2.4%","2.4%"
2021,"Not care experienced","(CAH16-01) law","110,510","21,870","4.8%","4.9%"
2021,"Not care experienced","(CAH17-01) business and management","254,980","50,310","11.0%","11.4%"
2021,"Not care experienced","(CAH19-01) English studies","48,760","10,020","2.1%","2.3%"
2021,"Not care experienced","(CAH19-02) Celtic studies","620","140","0.0%","0.0%"
2021,"Not care experienced","(CAH19-04) languages and area studies","26,040","5,420","1.1%","1.2%"
2021,"Not care experienced","(CAH20-01) history and archaeology","57,380","11,500","2.5%","2.6%"
2021,"Not care experienced","(CAH20-02) philosophy and religious studies","18,530","3,720","0.8%","0.8%"
2021,"Not care experienced","(CAH22-01) education and teaching","75,970","14,720","3.3%","3.3%"
2021,"Not care experienced","(CAH23-01) combined and general studies","8,090","1,860","0.3%","0.4%"
2021,"Not care experienced","(CAH24-01) media, journalism and communications","45,100","9,390","1.9%","2.1%"
2021,"Not care experienced","(CAH25-01) creative arts and design","136,190","27,840","5.9%","6.3%"
2021,"Not care experienced","(CAH25-02) performing arts","75,450","14,030","3.2%","3.2%"
2021,"Not care experienced","(CAH26-01) geography, earth and environmental studies","43,530","8,720","1.9%","2.0%"
2021,"Care experienced","(CAH01-01) medicine and dentistry","770","80","2.8%","1.5%"
2021,"Care experienced","(CAH02-02) pharmacology, toxicology and pharmacy","210","30","0.8%","0.5%"
2021,"Care experienced","(CAH02-04) nursing and midwifery","5,850","840","21.0%","16.8%"
2021,"Care experienced","(CAH02-05) medical sciences","690","130","2.5%","2.5%"
2021,"Care experienced","(CAH02-06) allied health","1,230","160","4.4%","3.2%"
2021,"Care experienced","(CAH03-01) biosciences","610","120","2.2%","2.4%"
2021,"Care experienced","(CAH03-02) sport and exercise sciences","670","130","2.4%","2.6%"
2021,"Care experienced","(CAH04-01) psychology","1,560","300","5.6%","6.0%"
2021,"Care experienced","(CAH05-01) veterinary sciences","120","20","0.4%","0.3%"
2021,"Care experienced","(CAH06-01) agriculture, food and related studies","180","60","0.6%","1.2%"
2021,"Care experienced","(CAH07-01) physics and astronomy","180","30","0.7%","0.6%"
2021,"Care experienced","(CAH07-02) chemistry","130","30","0.5%","0.6%"
2021,"Care experienced","(CAH07-04) general, applied and forensic sciences","140","40","0.5%","0.7%"
2021,"Care experienced","(CAH09-01) mathematical sciences","220","50","0.8%","0.9%"
2021,"Care experienced","(CAH10-01) engineering","940","190","3.4%","3.7%"
2021,"Care experienced","(CAH10-03) materials and technology","50","10","0.2%",""
2021,"Care experienced","(CAH11-01) computing","1,130","250","4.1%","5.0%"
2021,"Care experienced","(CAH13-01) architecture, building and planning","370","70","1.3%","1.5%"
2021,"Care experienced","(CAH15-01) sociology, social policy and anthropology","1,470","290","5.3%","5.8%"
2021,"Care experienced","(CAH15-02) economics","290","60","1.0%","1.1%"
2021,"Care experienced","(CAH15-03) politics","370","70","1.3%","1.4%"
2021,"Care experienced","(CAH15-04) health and social care","2,070","400","7.5%","8.1%"
2021,"Care experienced","(CAH16-01) law","1,540","290","5.6%","5.7%"
2021,"Care experienced","(CAH17-01) business and management","1,970","370","7.1%","7.4%"
2021,"Care experienced","(CAH19-01) English studies","450","90","1.6%","1.8%"
2021,"Care experienced","(CAH19-04) languages and area studies","150","40","0.5%","0.8%"
2021,"Care experienced","(CAH20-01) history and archaeology","340","60","1.2%","1.1%"
2021,"Care experienced","(CAH20-02) philosophy and religious studies","190","40","0.7%","0.8%"
2021,"Care experienced","(CAH22-01) education and teaching","890","160","3.2%","3.2%"
2021,"Care experienced","(CAH23-01) combined and general studies","70","30","0.3%","0.5%"
2021,"Care experienced","(CAH24-01) media, journalism and communications","420","90","1.5%","1.8%"
2021,"Care experienced","(CAH25-01) creative arts and design","1,410","300","5.1%","6.1%"
2021,"Care experienced","(CAH25-02) performing arts","940","180","3.4%","3.5%"
2021,"Care experienced","(CAH26-01) geography, earth and environmental studies","170","40","0.6%","0.7%"
2022,"Not care experienced","(CAH01-01) medicine and dentistry","106,050","10,650","4.5%","2.5%"
2022,"Not care experienced","(CAH02-02) pharmacology, toxicology and pharmacy","27,600","5,200","1.2%","1.2%"
2022,"Not care experienced","(CAH02-04) nursing and midwifery","190,230","30,190","8.0%","7.0%"
2022,"Not care experienced","(CAH02-05) medical sciences","63,410","12,060","2.7%","2.8%"
2022,"Not care experienced","(CAH02-06) allied health","95,730","14,840","4.0%","3.4%"
2022,"Not care experienced","(CAH03-01) biosciences","70,120","13,330","3.0%","3.1%"
2022,"Not care experienced","(CAH03-02) sport and exercise sciences","80,890","15,710","3.4%","3.6%"
2022,"Not care experienced","(CAH04-01) psychology","126,830","23,710","5.4%","5.5%"
2022,"Not care experienced","(CAH05-01) veterinary sciences","13,810","1,990","0.6%","0.5%"
2022,"Not care experienced","(CAH06-01) agriculture, food and related studies","16,690","4,150","0.7%","1.0%"
2022,"Not care experienced","(CAH07-01) physics and astronomy","25,370","4,710","1.1%","1.1%"
2022,"Not care experienced","(CAH07-02) chemistry","19,760","4,010","0.8%","0.9%"
2022,"Not care experienced","(CAH07-04) general, applied and forensic sciences","15,650","3,700","0.7%","0.9%"
2022,"Not care experienced","(CAH09-01) mathematical sciences","35,840","7,140","1.5%","1.6%"
2022,"Not care experienced","(CAH10-01) engineering","122,740","22,620","5.2%","5.2%"
2022,"Not care experienced","(CAH10-03) materials and technology","5,290","1,330","0.2%","0.3%"
2022,"Not care experienced","(CAH11-01) computing","130,870","26,320","5.5%","6.1%"
2022,"Not care experienced","(CAH13-01) architecture, building and planning","41,410","8,020","1.7%","1.8%"
